posture,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
Prone,-0.31,0.48,-0.75,-183.53,5.25,14.28,-13.06,8.11,60.29
Prone,-0.29,0.46,-0.79,-187.68,7.2,18.37,-13.06,8.11,60.29
Prone,-0.27,0.46,-0.83,-189.64,6.9,22.52,-13.06,8.11,60.29
Prone,-0.27,0.43,-0.84,-186.4,2.44,26.06,-13.06,8.11,60.29
Prone,-0.27,0.43,-0.9,-183.17,-0.06,26.98,-13.06,17.48,59.68
Prone,-0.26,0.43,-0.88,-183.17,-3.48,22.4,-12.43,17.32,59.68
Prone,-0.27,0.39,-0.89,-177.92,-3.48,22.4,-12.43,17.32,59.68
Prone,-0.26,0.35,-0.87,-173.65,-6.41,21.67,-12.43,17.32,59.68
Prone,-0.23,0.29,-0.86,-172.55,-7.32,23.13,-12.43,17.32,59.68
Prone,-0.27,0.28,-0.82,-176.94,-6.65,26.92,-12.43,17.32,59.68
Prone,-0.25,0.22,-0.81,-187.32,-1.28,30.03,-12.43,17.32,59.68
Prone,-0.31,0.21,-0.84,-201.23,7.39,30.64,-11.9,25.63,58.35
Prone,-0.35,0.21,-0.91,-212.34,17.4,31.56,-11.9,25.63,58.35
Prone,-0.36,0.11,-1.1,-191.35,20.39,26.73,-11.9,25.63,58.35
Prone,-0.22,0.04,-1,23.5,-99.18,-8.42,-12.13,33.04,54.39
Prone,-0.22,0.04,-0.94,17.88,-93.38,-8.3,-12.13,33.04,54.39
Prone,-0.28,0.05,-0.96,16.66,-89.05,-9.09,-12.13,33.04,54.39
Prone,-0.26,0.07,-1.02,16.66,-89.05,-9.09,-7.75,32.1,55.27
Prone,-0.25,0.09,-1.02,16.05,-82.95,-6.29,-7.75,32.1,55.27
Prone,-0.15,0.09,-1.05,13.73,-72.14,-5.31,-7.75,32.1,55.27
Prone,-0.24,0.09,-1.02,12.57,-61.89,-2.08,-7.75,32.1,55.27
Prone,-0.23,0.07,-1.1,10.01,-46.2,-0.67,-7.75,32.1,55.27
Prone,-0.19,0.08,-0.92,2.2,-11.84,-4.27,-7.31,31.82,57.06
Prone,-0.11,0.07,-0.94,2.32,-18.74,-10.56,-7.31,31.82,57.06
Prone,-0.16,0.16,-0.97,12.94,-88.38,-9.03,-5.15,30.8,56.24
Prone,-0.14,0.18,-0.95,14.22,-78.55,-9.03,-5.15,30.8,56.24
Prone,-0.17,0.2,-1.05,15.32,-85.94,-8.48,-2.23,30.35,57.52
Prone,-0.06,0.21,-1.1,8.36,-53.65,-4.7,-2.23,30.35,57.52
Prone,-0.05,0.18,-1.07,-20.02,-28.69,18.43,0.83,29.82,57.23
Prone,0,0.14,-0.94,-77.33,-26.18,-55.36,1.59,31.25,55.83
Prone,0.01,0.04,-0.97,-62.93,-16.72,-69.52,1.07,33.87,54.03
Prone,0.03,-0.02,-0.94,-15.87,-10.62,-21.91,0.92,35.31,54.28
Prone,0.03,0.01,-0.94,4.33,-1.04,-24.78,0.92,35.31,54.28
