Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0,1.02,0.1,-0.07,-15.08,6.23,-16.17,34.01,17.93,41.81,STAND
0.000998497,1.32,-0.15,-0.03,-6.47,-16.72,-8.54,34.48,18.85,41.17,STAND
0.001998901,0.77,-0.15,-0.13,-21.97,-15.99,-12.15,35.88,20.9,39.97,STAND
0.001998901,1.02,-0.08,0.01,-16.11,0.92,10.99,35.22,22.6,40.09,STAND
0.003506899,0.9,-0.12,0.05,-1.22,8.18,9.46,35.82,21.13,39.5,STAND
0.004518747,0.9,-0.15,0.03,-5.62,4.33,-0.79,34.63,21.63,40.05,STAND
0.004518747,1.13,-0.2,0.03,-26.43,-0.85,6.47,34.62,22.18,40.83,STAND
0.005517721,1.14,0.1,-0.04,-5.74,-15.93,13.85,34.17,22.83,39.78,STAND
0.006516695,0.95,0.05,-0.14,23.19,11.78,-10.31,34.95,21.73,38.93,STAND
0.007516384,0.84,0.02,0,17.33,0.18,-10.25,34.75,21.28,39.11,STAND
0.007516384,0.96,-0.02,0,15.26,17.94,-7.93,33.35,20.73,40.64,STAND
0.008518219,0.97,0,-0.08,18.74,13.92,-8.24,32.19,19.98,42.46,STAND
0.009519339,1.29,-0.09,-0.05,17.58,-13.79,-1.95,32.69,19.2,43.03,STAND
0.010613918,0.83,-0.12,-0.15,-12.51,-18.62,-8.42,33.29,19.07,42.75,STAND
0.010613918,1.11,-0.14,-0.07,-35.71,16.97,2.32,33.89,20.12,41.56,STAND
0.011614799,0.83,-0.12,0,-16.66,1.77,15.08,33.73,21.66,40.72,STAND
0.012612581,0.89,-0.1,0.02,-9.09,5.25,8.42,33.31,20.9,41.55,STAND
0.013627052,1.13,-0.18,-0.02,-11.11,-0.98,8.73,33.58,21.41,42.15,STAND
0.013627052,1.36,0.13,-0.03,-7.32,-15.99,1.83,33.79,21.83,40.36,STAND
0.014611959,0.8,0.05,-0.21,13.06,-9.58,-9.46,34.68,20.91,40.95,STAND
0.015621901,0.95,-0.07,0,5.98,3.6,-14.16,33.39,21.17,40.73,STAND
0.016563416,0.9,-0.03,-0.01,11.66,14.47,-10.56,33.36,21.59,42.08,STAND
0.016563416,0.97,0.02,-0.04,17.46,14.59,-5.8,32.29,21.53,42.53,STAND
0.017518282,1.21,-0.05,-0.01,28.56,2.01,-7.93,32.12,21.02,43.02,STAND
0.018566608,0.93,-0.27,-0.18,5.25,-21.12,-13.85,33.13,19.54,42.96,STAND
0.019613266,0.98,-0.22,-0.17,-31.07,-0.37,1.71,33.9,20.28,42.19,STAND
0.019613266,0.87,-0.11,-0.01,-14.53,0,13.37,34.28,21.68,41.5,STAND
0.020619392,0.88,-0.15,0.04,-2.44,-4.09,13.12,34.14,20.73,40.94,STAND
0.021611929,1.04,-0.17,0.01,-9.52,0.37,9.95,34.28,20.95,39.56,STAND
0.022623539,1.32,0,0.02,-21.85,1.46,1.59,33.61,21.48,40.91,STAND
0.022623539,0.83,-0.02,-0.14,7.57,-7.87,7.93,34.7,20.81,40.41,STAND
0.023607731,1.07,-0.09,-0.1,13.92,18.49,-10.31,34.78,21.07,40.71,STAND
0.023607731,0.83,0.01,-0.03,5.74,13.67,-9.83,33.72,21.22,41.99,STAND
0.024612904,0.96,0,-0.04,7.32,13.55,-4.64,32.5,21.36,42.76,STAND
0.025620461,1.14,0.03,-0.13,11.05,-8.85,-7.2,32.24,21.03,43.75,STAND
0.025620461,1.35,-0.35,-0.08,9.77,-18.92,-10.01,32.34,20.7,42.15,STAND
0.026617289,0.83,-0.18,-0.2,-21.24,-22.64,-2.93,34.36,21.5,40.6,STAND
0.026617289,0.96,-0.16,0.05,-5,-18.74,1.22,34.9,22.99,39.56,STAND
0.027613878,0.92,-0.14,0.08,-6.71,5.92,8.24,35.62,22.81,39.58,STAND
0.028609276,0.9,-0.16,0.07,-4.39,9.46,3.6,34.81,22.71,39.94,STAND
0.028883934,1.28,-0.15,0,-22.89,27.28,4.76,33.69,22.66,41.38,STAND
0.029448509,0.88,-0.09,-0.11,-22.16,-6.04,6.41,32.8,23.47,40.88,STAND
0.029951334,1.1,-0.1,-0.19,23.74,30.7,-10.74,32.69,24.26,41.89,STAND
0.030955076,0.82,-0.01,-0.15,31.86,-7.26,-11.84,31.92,24.22,43.91,STAND
0.030955076,0.96,-0.08,-0.1,1.4,1.71,-5.62,31.64,23.71,43.36,STAND
0.031955004,1.14,-0.09,-0.15,-3.36,-10.07,-5.92,32.18,24.15,43.96,STAND
0.031955004,1.22,-0.47,-0.13,3.05,-22.58,-10.74,32.15,23.36,43.63,STAND
0.033231497,0.93,-0.23,-0.26,-33.33,-12.39,17.7,32.81,24.43,42.07,STAND
0.033734322,0.95,-0.12,0.02,-8.12,-34.48,12.15,33.53,25.28,41.77,STAND
0.033734322,0.88,-0.09,0.12,-21.97,24.9,10.44,33.17,24.57,40.75,STAND
0.034738302,0.97,-0.17,-0.04,-13.18,25.88,10.07,32.71,25.31,41.59,STAND
0.03573823,1.32,0.08,-0.12,-10.25,15.75,3.72,31.32,25.01,42.52,STAND
0.03573823,0.91,0.04,-0.35,3.72,-20.26,-1.16,32.95,24.04,41.64,STAND
0.036738157,1.05,0.01,-0.09,24.05,0.85,-18.8,31.97,23.68,41.83,STAND
0.036738157,0.83,-0.16,-0.16,0.55,27.4,-2.08,32.36,23.08,42.53,STAND
0.037738323,1.01,0,-0.1,-1.1,3.11,-7.69,30.77,22.96,44.45,STAND
0.037738323,1.21,-0.02,-0.2,18.19,-9.16,-8.79,31.08,23.45,43.6,STAND
0.039849997,0.83,-0.1,-0.24,-7.14,-6.47,-3.97,31.74,22.96,42.48,STAND
0.039849997,1.06,-0.07,-0.12,-18.92,4.76,1.83,32.91,22.88,41.97,STAND
0.040855169,0.75,-0.12,-0.09,-15.81,-17.64,7.32,32.89,23.96,41.22,STAND
0.041854858,1,-0.12,-0.02,-6.59,14.53,0.43,33.13,24.54,42.07,STAND
0.042854786,1.02,-0.19,-0.05,-1.77,-5.62,6.9,33.04,24.62,42.24,STAND
0.043854713,1.17,0.14,0.04,14.16,-28.99,-0.31,32.7,23.67,41.59,STAND
0.044445515,0.88,-0.02,-0.15,35.71,15.01,-18.92,34.69,22.96,39.95,STAND
0.045044661,0.87,-0.04,-0.02,9.28,-30.46,-10.8,33.86,22.69,40.19,STAND
0.046143055,0.96,-0.11,0.06,4.7,7.2,-13.92,34.69,22.79,38.98,STAND
0.047157764,0.95,-0.09,-0.02,-10.56,-4.27,-1.04,34.13,23,38.9,STAND
0.048146248,1.31,-0.27,0.01,11.41,-16.3,-8.3,34.03,24.35,40.17,STAND
0.048146248,0.76,-0.22,-0.14,-25.33,-17.88,-5.92,35.11,25.63,39.53,STAND
0.049831152,1.05,-0.23,0.07,-13,6.9,3.78,35.39,26.31,38.18,STAND
0.049831152,0.89,-0.18,0.04,-11.11,10.07,6.9,36.13,27.31,36.01,STAND
0.05080843,0.86,-0.19,0.15,-4.33,13.92,5.68,35.46,26.79,36.94,STAND
0.051917791,1.02,-0.23,0.11,-11.66,31.92,15.81,34.85,26.45,38.66,STAND
0.051917791,1.03,-0.06,-0.1,3.05,-2.99,8.54,33.95,25.72,40.58,STAND
0.052927971,0.99,-0.1,-0.13,39.73,22.52,-12.45,33.94,25.34,40.66,STAND
0.053914309,0.8,-0.06,-0.08,5.07,-5.49,-4.58,33.12,25.29,41.47,STAND
0.053914309,0.99,-0.1,0.04,-5.37,28.14,0.85,33.02,24.33,42.16,STAND
0.054919004,1.1,-0.02,-0.15,-0.49,-1.28,-3.97,32.24,24.99,42.03,STAND
0.054919004,1.18,-0.34,-0.17,-2.56,-28.75,-0.49,32.39,24.79,43.14,STAND
0.055916548,0.81,-0.17,-0.2,-14.1,-9.34,6.77,32.91,25,41.66,STAND
0.055916548,0.99,-0.15,-0.01,-3.97,0.18,2.2,32.73,25.26,42.35,STAND
0.056923866,0.94,-0.13,-0.04,-1.28,25.82,5.49,33.08,25.31,41.91,STAND
0.057917356,0.96,-0.16,-0.09,-0.24,5.07,2.44,31.18,25.23,43.4,STAND
0.057917356,1.18,-0.17,-0.13,-14.47,2.01,1.95,31.82,24.62,44.65,STAND
0.058918476,0.91,-0.08,-0.2,5.37,-40.53,3.36,32.58,24.9,42.18,STAND
0.058918476,1.12,-0.15,-0.09,33.81,21.06,-17.33,33.09,23.65,42.76,STAND
0.060424089,0.76,-0.07,-0.08,8.67,-12.82,-1.53,33.57,24.05,41.08,STAND
0.060424089,0.99,-0.07,-0.04,-8.24,20.08,4.09,32.18,23.08,42.24,STAND
0.061431646,1.1,-0.04,-0.15,2.62,1.71,-2.5,32.25,23.43,42.81,STAND
0.061431646,1.13,-0.34,-0.17,3.3,-26.31,-10.74,31.97,22.94,42.96,STAND
0.06243062,0.9,-0.24,-0.25,-16.11,-6.65,5.68,32.46,24.5,41.32,STAND
0.063444853,0.95,-0.12,-0.06,-17.64,-16.54,11.23,32.23,25.61,42.46,STAND
0.063444853,0.95,-0.14,-0.07,-3.6,25.51,5.74,32.28,25.42,42.03,STAND
0.064449549,0.95,-0.2,-0.13,-4.58,3.78,6.84,32.18,24.79,42.92,STAND
0.064449549,1.28,-0.07,-0.12,-9.83,-10.19,3.72,32.13,24.56,43.71,STAND
