Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0,0.98,0.04,0.18,-0.49,-0.43,-1.28,36.73,37.11,18.3,RUN
0.001965046,0.99,0.05,0.18,-1.89,0.55,-0.73,36.28,37.21,18.54,RUN
0.002963543,0.98,0.05,0.18,-2.81,1.46,-0.73,36.36,36.85,19.02,RUN
0.002963543,0.98,0.05,0.17,-1.95,2.26,-0.37,36.89,37.26,18.95,RUN
0.00447154,0.99,0.05,0.17,-0.73,3.36,-0.67,36.41,37.44,18.84,RUN
0.005482435,0.99,0.06,0.16,-1.1,4.27,-0.92,35.74,37.37,20.09,RUN
0.006479979,0.98,0.06,0.14,2.81,-2.69,0.61,36.08,37.26,18.86,RUN
0.007479429,1,0.04,0.15,-2.32,1.71,0.18,36.25,36.82,19.98,RUN
0.008480787,0.97,0.06,0.14,-2.69,-5.37,-1.1,36.32,36.74,18.98,RUN
0.00948,0.99,0.04,0.15,-3.48,2.56,-0.37,37,36.91,19.46,RUN
0.00948,1.01,0.05,0.17,-1.89,0.06,-1.59,36.76,36.95,18.84,RUN
0.010480404,0.96,0.03,0.15,0.98,-0.79,-3.91,36.25,36.96,20.15,RUN
0.011500359,0.95,0.1,0.12,-3.36,15.75,-0.06,36.41,36.74,19.95,RUN
0.011500359,1.04,0.07,0.17,-15.08,-6.53,-5,36.01,37.19,20.21,RUN
0.012580156,0.96,0.16,0.15,-30.33,3.66,-7.75,35.93,37.74,17.53,RUN
0.01358366,1.11,0.03,0.17,-30.27,-7.08,-9.09,36.21,38.53,17.69,RUN
0.014573336,0.93,0.05,0.11,-31.49,3.36,-11.66,35.73,39.61,15.97,RUN
0.01557827,1,-0.03,0.15,-35.95,-0.55,-8.73,35.27,40.89,13.82,RUN
0.016574144,0.96,-0.05,0.11,-46.88,7.57,-15.01,35.18,41.26,11.07,RUN
0.016574144,1.01,-0.03,0.1,-50.54,11.17,-8.91,34.74,41.74,8.68,RUN
0.017572641,1.05,-0.15,0.04,-48.03,7.81,-9.28,34.45,41.33,6.64,RUN
0.018578529,0.98,-0.03,0.07,-11.66,-6.35,-7.57,33.94,41.97,4.69,RUN
0.019574881,0.98,-0.13,0.05,14.83,-15.99,-7.87,32.59,40.89,4.38,RUN
0.020576954,0.88,-0.1,0.12,3.54,-8.97,-1.83,32.21,42.57,4.33,RUN
0.021577358,1.06,-0.04,0.13,18.92,-3.11,-3.54,32.36,42.6,3.81,RUN
0.022578001,0.96,-0.15,0.13,-3.05,0.31,-5.86,32.34,43.47,4.68,RUN
0.022578001,1,-0.11,0.12,-5.19,-3.6,-2.62,31.7,43.68,4.33,RUN
0.023576021,1,-0.09,0.15,2.32,-3.48,-3.05,31.47,43.41,3.81,RUN
0.024577141,0.99,-0.11,0.14,9.09,-3.91,1.59,31.59,44.49,4.54,RUN
0.025815487,0.99,-0.15,0.13,-3.36,-8.36,0.79,31.52,44.18,4.31,RUN
0.026479959,0.97,-0.1,0.18,-5.19,-5.74,5.86,32.68,43.81,4.1,RUN
0.027478218,1,-0.06,0.21,1.65,-2.87,8.36,32.39,43.08,3.75,RUN
0.028478146,0.97,-0.06,0.18,2.69,-0.49,2.32,32.76,43.64,3.67,RUN
0.029479742,0.99,-0.06,0.18,1.34,1.1,0.12,32.97,43.42,4.71,RUN
0.030479431,0.99,-0.06,0.19,0.12,0.18,1.04,33.47,42.77,4.88,RUN
0.031480551,0.99,-0.06,0.17,-1.1,1.59,0.12,33.48,43.4,4.26,RUN
0.032480001,0.99,-0.06,0.17,-0.31,1.95,-0.55,33.52,42.55,5.16,RUN
0.034481049,0.98,-0.06,0.17,0.31,1.4,-1.89,33.28,42.38,4.16,RUN
