Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.0,0.98, 0.04, 0.18, -0.49, -0.43, -1.28, 36.73, 37.11, 18.30,
0.001965045928955078,0.99, 0.05, 0.18, -1.89, 0.55, -0.73, 36.28, 37.21, 18.54,
0.002963542938232422,0.98, 0.05, 0.18, -2.81, 1.46, -0.73, 36.36, 36.85, 19.02,
0.002963542938232422,0.98, 0.05, 0.17, -1.95, 2.26, -0.37, 36.89, 37.26, 18.95,
0.004471540451049805,0.99, 0.05, 0.17, -0.73, 3.36, -0.67, 36.41, 37.44, 18.84,
0.00548243522644043,0.99, 0.06, 0.16, -1.10, 4.27, -0.92, 35.74, 37.37, 20.09,
0.006479978561401367,0.98, 0.06, 0.14, 2.81, -2.69, 0.61, 36.08, 37.26, 18.86,
0.007479429244995117,1.00, 0.04, 0.15, -2.32, 1.71, 0.18, 36.25, 36.82, 19.98,
0.00848078727722168,0.97, 0.06, 0.14, -2.69, -5.37, -1.10, 36.32, 36.74, 18.98,
0.009479999542236328,0.99, 0.04, 0.15, -3.48, 2.56, -0.37, 37.00, 36.91, 19.46,
0.009479999542236328,1.01, 0.05, 0.17, -1.89, 0.06, -1.59, 36.76, 36.95, 18.84,
0.010480403900146484,0.96, 0.03, 0.15, 0.98, -0.79, -3.91, 36.25, 36.96, 20.15,
0.011500358581542969,0.95, 0.10, 0.12, -3.36, 15.75, -0.06, 36.41, 36.74, 19.95,
0.011500358581542969,1.04, 0.07, 0.17, -15.08, -6.53, -5.00, 36.01, 37.19, 20.21,
0.012580156326293945,0.96, 0.16, 0.15, -30.33, 3.66, -7.75, 35.93, 37.74, 17.53,
0.013583660125732422,1.11, 0.03, 0.17, -30.27, -7.08, -9.09, 36.21, 38.53, 17.69,
0.014573335647583008,0.93, 0.05, 0.11, -31.49, 3.36, -11.66, 35.73, 39.61, 15.97,
0.015578269958496094,1.00, -0.03, 0.15, -35.95, -0.55, -8.73, 35.27, 40.89, 13.82,
0.01657414436340332,0.96, -0.05, 0.11, -46.88, 7.57, -15.01, 35.18, 41.26, 11.07,
0.01657414436340332,1.01, -0.03, 0.10, -50.54, 11.17, -8.91, 34.74, 41.74, 8.68,
0.017572641372680664,1.05, -0.15, 0.04, -48.03, 7.81, -9.28, 34.45, 41.33, 6.64,
0.018578529357910156,0.98, -0.03, 0.07, -11.66, -6.35, -7.57, 33.94, 41.97, 4.69,
0.019574880599975586,0.98, -0.13, 0.05, 14.83, -15.99, -7.87, 32.59, 40.89, 4.38,
0.020576953887939453,0.88, -0.10, 0.12, 3.54, -8.97, -1.83, 32.21, 42.57, 4.33,
0.02157735824584961,1.06, -0.04, 0.13, 18.92, -3.11, -3.54, 32.36, 42.60, 3.81,
0.022578001022338867,0.96, -0.15, 0.13, -3.05, 0.31, -5.86, 32.34, 43.47, 4.68,
0.022578001022338867,1.00, -0.11, 0.12, -5.19, -3.60, -2.62, 31.70, 43.68, 4.33,
0.023576021194458008,1.00, -0.09, 0.15, 2.32, -3.48, -3.05, 31.47, 43.41, 3.81,
0.02457714080810547,0.99, -0.11, 0.14, 9.09, -3.91, 1.59, 31.59, 44.49, 4.54,
0.025815486907958984,0.99, -0.15, 0.13, -3.36, -8.36, 0.79, 31.52, 44.18, 4.31,
