Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.0,1.02, 0.10, -0.07, -15.08, 6.23, -16.17, 34.01, 17.93, 41.81,
0.0009984970092773438,1.32, -0.15, -0.03, -6.47, -16.72, -8.54, 34.48, 18.85, 41.17,
0.0019989013671875,0.77, -0.15, -0.13, -21.97, -15.99, -12.15, 35.88, 20.90, 39.97,
0.0019989013671875,1.02, -0.08, 0.01, -16.11, 0.92, 10.99, 35.22, 22.60, 40.09,
0.003506898880004883,0.90, -0.12, 0.05, -1.22, 8.18, 9.46, 35.82, 21.13, 39.50,
0.004518747329711914,0.90, -0.15, 0.03, -5.62, 4.33, -0.79, 34.63, 21.63, 40.05,
0.004518747329711914,1.13, -0.20, 0.03, -26.43, -0.85, 6.47, 34.62, 22.18, 40.83,
0.005517721176147461,1.14, 0.10, -0.04, -5.74, -15.93, 13.85, 34.17, 22.83, 39.78,
0.006516695022583008,0.95, 0.05, -0.14, 23.19, 11.78, -10.31, 34.95, 21.73, 38.93,
0.007516384124755859,0.84, 0.02, -0.00, 17.33, 0.18, -10.25, 34.75, 21.28, 39.11,
0.007516384124755859,0.96, -0.02, -0.00, 15.26, 17.94, -7.93, 33.35, 20.73, 40.64,
0.008518218994140625,0.97, -0.00, -0.08, 18.74, 13.92, -8.24, 32.19, 19.98, 42.46,
0.009519338607788086,1.29, -0.09, -0.05, 17.58, -13.79, -1.95, 32.69, 19.20, 43.03,
0.01061391830444336,0.83, -0.12, -0.15, -12.51, -18.62, -8.42, 33.29, 19.07, 42.75,
0.01061391830444336,1.11, -0.14, -0.07, -35.71, 16.97, 2.32, 33.89, 20.12, 41.56,
0.011614799499511719,0.83, -0.12, -0.00, -16.66, 1.77, 15.08, 33.73, 21.66, 40.72,
0.012612581253051758,0.89, -0.10, 0.02, -9.09, 5.25, 8.42, 33.31, 20.90, 41.55,
0.013627052307128906,1.13, -0.18, -0.02, -11.11, -0.98, 8.73, 33.58, 21.41, 42.15,
0.013627052307128906,1.36, 0.13, -0.03, -7.32, -15.99, 1.83, 33.79, 21.83, 40.36,
0.014611959457397461,0.80, 0.05, -0.21, 13.06, -9.58, -9.46, 34.68, 20.91, 40.95,
0.01562190055847168,0.95, -0.07, -0.00, 5.98, 3.60, -14.16, 33.39, 21.17, 40.73,
0.01656341552734375,0.90, -0.03, -0.01, 11.66, 14.47, -10.56, 33.36, 21.59, 42.08,
0.01656341552734375,0.97, 0.02, -0.04, 17.46, 14.59, -5.80, 32.29, 21.53, 42.53,
0.017518281936645508,1.21, -0.05, -0.01, 28.56, 2.01, -7.93, 32.12, 21.02, 43.02,
0.018566608428955078,0.93, -0.27, -0.18, 5.25, -21.12, -13.85, 33.13, 19.54, 42.96,
0.019613265991210938,0.98, -0.22, -0.17, -31.07, -0.37, 1.71, 33.90, 20.28, 42.19,
0.019613265991210938,0.87, -0.11, -0.01, -14.53, 0.00, 13.37, 34.28, 21.68, 41.50,
0.02061939239501953,0.88, -0.15, 0.04, -2.44, -4.09, 13.12, 34.14, 20.73, 40.94,
0.021611928939819336,1.04, -0.17, 0.01, -9.52, 0.37, 9.95, 34.28, 20.95, 39.56,
0.022623538970947266,1.32, 0.00, 0.02, -21.85, 1.46, 1.59, 33.61, 21.48, 40.91,
0.022623538970947266,0.83, -0.02, -0.14, 7.57, -7.87, 7.93, 34.70, 20.81, 40.41,
0.023607730865478516,1.07, -0.09, -0.10, 13.92, 18.49, -10.31, 34.78, 21.07, 40.71,
0.023607730865478516,0.83, 0.01, -0.03, 5.74, 13.67, -9.83, 33.72, 21.22, 41.99,
0.024612903594970703,0.96, -0.00, -0.04, 7.32, 13.55, -4.64, 32.50, 21.36, 42.76,
0.025620460510253906,1.14, 0.03, -0.13, 11.05, -8.85, -7.20, 32.24, 21.03, 43.75,
0.025620460510253906,1.35, -0.35, -0.08, 9.77, -18.92, -10.01, 32.34, 20.70, 42.15,
0.02661728858947754,0.83, -0.18, -0.20, -21.24, -22.64, -2.93, 34.36, 21.50, 40.60,
0.02661728858947754,0.96, -0.16, 0.05, -5.00, -18.74, 1.22, 34.90, 22.99, 39.56,
0.02761387825012207,0.92, -0.14, 0.08, -6.71, 5.92, 8.24, 35.62, 22.81, 39.58,
